Округ,Явка,Всего,КПРФ,ЕР,ЛДПР,КПКР,СР,КПСС,ГП,ПР ,Родина
1,"0,60767662371083",29900,"0,227391304347826","0,602775919732441","0,0818060200668896","0,0457190635451505","0,0197993311036789","0,00986622073578595","0,00284280936454849","0,00525083612040134","0,00454849498327759"
2,"0,521930373149885",24052,"0,254407117911192","0,504199234990853","0,116830201230667","0,0612838849160153","0,0312240146349576","0,0151754531847663","0,0035340096457675","0,00702644270746715","0,00631964077831365"
3,"0,444316150178784",23117,"0,241251027382446","0,496777263485746","0,122290954708656","0,071635592853744","0,0356015053856469","0,0138426266384046","0,00501795215642168","0,00683479690271229","0,00674828048622226"
4,"0,596754464649759",27955,"0,227043462707923","0,543766768020032","0,100232516544446","0,0685029511715257","0,0254695045609014","0,0153818637095332","0,00465033088892864","0,00837059560007154","0,00658200679663745"
5,"0,523916338284329",25039,"0,284875594073246","0,497344143136707","0,116538200407365","0,0498821837932825","0,0188905307719957","0,0141379448061025","0,00583090379008746","0,0083469787132074","0,00415352050800751"
6,"0,472947701038241",28322,"0,339029729538874","0,373525880940612","0,137454981992797","0,0782783701715981","0,0315302591624885","0,0147235364734129","0,00762658004378222","0,0104159310783137","0,0074147305981216"
7,"0,436858953420004",26000,"0,336307692307692","0,383615384615385","0,130730769230769","0,0776923076923077","0,0313461538461538","0,0145769230769231","0,00934615384615385","0,00888461538461539","0,0075"
8,"0,429746264166082",24889,"0,444935513680743","0,319980714371811","0,115954839487324","0,0494596006267829","0,0376873317529832","0,0144642211418699","0,00642854272971996","0,00546426132026196","0,00562497488850496"
9,"0,364316082685823",21434,"0,578100214612298","0,184706541009611","0,125968088084352","0,0325650835121769","0,0457684053373146","0,0118503312494168","0,0111505085378371","0,00587851077726976","0,0040123168797238"
10,"0,330775975449364",17718,"0,43469917597923","0,220510215599955","0,185912631222486","0,0688565300824021","0,0571734958798962","0,0093125634947511","0,00722429168077661","0,0111186364149453","0,00519245964555819"
11,"0,323309064049805",17978,"0,473523195016131","0,197908554900434","0,174379797530315","0,0644120591834464","0,0602959172321727","0,0100678607186561","0,0088997663811325","0,00650795416620314","0,00400489487150962"
12,"0,310431302801245",16943,"0,440122764563537","0,230419642330166","0,17375907454406","0,0615003246178363","0,0518798323791536","0,0156996989907336","0,0128666706014283","0,00796789234492121","0,00578409962816502"
13,"0,328152352660336",18029,"0,432691774363525","0,25514448943369","0,170614010760442","0,0539131399412058","0,0518608907870653","0,0100948471906373","0,0130900216318154","0,00726607132952466","0,0053247545620944"
14,"0,371809936474131",19583,"0,43920747587193","0,246999948935301","0,156257978859215","0,0528519634376755","0,0606137976816627","0,0101618750957463","0,0178215799417862","0,00924271051422152","0,00684266966246234"
15,"0,312880268446477",16467,"0,485273577457946","0,192384769539078","0,171433776644197","0,0681362725450902","0,0490071051193296","0,0119633205805551","0,00989858504888565","0,00649784417319487","0,00540474889172284"
16,"0,331951957458513",17520,"0,447602739726027","0,227739726027397","0,176198630136986","0,0555936073059361","0,0565068493150685","0,0127853881278539","0,0110730593607306","0,00730593607305936","0,00519406392694064"
17,"0,314867624278271",17323,"0,476187727298967","0,193557697858339","0,171332910004041","0,0562258269352884","0,0662125497892975","0,0105639900710039","0,0120071581134907","0,00744674709923223","0,00646539283034117"
18,"0,310355632147893",19260,"0,443821391484943","0,217289719626168","0,182969885773624","0,0650051921079958","0,0559709241952233","0,011318795430945","0,0088785046728972","0,00867082035306334","0,00607476635514019"
